id,Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm,
1,Khu du lịch hồ Lắk,"Hồ nước tự nhiên lớn nhất tại Tây Nguyên, nằm giữa núi rừng hùng vĩ",Đắk Lắk,"Hồ, danh lam thắng cảnh",https://maps.app.goo.gl/XBoQDXK8M7d23D1A9,1dFEUYNC6Zg9ZHc4g2ZMQv5rFk2taApAi,
2,Buôn Đôn,Nổi tiếng với nghề nuôi dưỡng và thuần chủng voi,Đắk Lắk,Danh lam thắng cảnh,https://maps.app.goo.gl/jyVpyz1McqRWpb5e7,17YziENhkmzN1UiUBPZcqBIYQv3IFFEZ4,
3,Thung Lũng Tình Yêu,Đây là một trong những thắng cảnh hàng đầu Đà Lạt,Lâm Đồng,Điểm chụp ảnh đẹp,https://maps.app.goo.gl/zUkEh3eD3dWzhGKR6,16pR_1HYEQSZpY-moBNM6lHmfHgPbnzOh,
4,Samten Hills Đà Lạt,Samten Hills Dalat là một tuyệt tác văn hóa Phật giáo,Lâm Đồng,Đền,https://maps.app.goo.gl/V9BRtYLcMW8wSRrC8,1nrMjB_8KTtqP5hCu7NV61rqXXMmq_6cX,
5,Bà Nà Hills,"Khu du lịch với Cầu Vàng nổi tiếng, nhiều trò chơi giải trí và kiến trúc Pháp cổ điển",Đà Nẵng,"Danh lam thắng cảnh, Công trình kiến trúc, Khu vui chơi",https://maps.app.goo.gl/UrwaBoHtfQjeFrZ27,14dF5DjO1YU_4paW6ytuA-K6-xgObQ-uY,
6,Bãi biển Mỹ Khê,Một trong những bãi biển đẹp nhất thế giới với cát trắng mịn và nước biển trong xanh,Đà Nẵng,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/71zcJnk5jW5HkLPH8,1cVjvDxzRqeJVGrvbLwLQWaTNxGdYZ2xp,
7,Ngũ Hành Sơn,"Quần thể năm ngọn núi đá vôi với nhiều hang động, chùa chiền và điêu khắc đá",Đà Nẵng,"Chùa, Đi bộ đường dài, Núi, Đi xe đạp tham quan",https://maps.app.goo.gl/GcTdELaBf7L6dyf49,1cApgqn5hiagkUZfADI5RAa7W5Lj82TaA,
8,Cầu Rồng,"Cây cầu biểu tượng của Đà Nẵng, có khả năng phun lửa và nước vào cuối tuần",Đà Nẵng,"Tượng đài, Cầu",https://maps.app.goo.gl/61UBgiA6u24s9kmv6,1QxLgywb5x15FWp6XRPc0RjKozGojE-Cv,
9,Asia Park - Sun World Đà Nẵng Wonders,Công viên giải trí với vòng quay Sun Wheel khổng lồ và nhiều trò chơi hấp dẫn,Đà Nẵng,"Công viên, Công trình kiến trúc, Khu vui chơi",https://maps.app.goo.gl/G4TtNkaAiPG9qiC7A,16hoTZdoiED0QoiEu_DrN8hr41syy82o3,
10,Bảo tàng Điêu khắc Chăm,Bảo tàng lưu giữ hơn 300 hiện vật điêu khắc Chăm Pa từ thế kỷ 7-15,Đà Nẵng,"Đi bộ đường dài, Đi xe đạp tham quan, Bảo tàng",https://maps.app.goo.gl/iHaxYAkTJfxaAfMC6,1e89KCQuE1QQXbSIBrvq3GAIK1qvjhrsO,
