id,Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm,
20,Thảo Cầm Viên,"Thảo Cầm Viên không những là nơi bảo tồn 1000 cá thể động vật mà còn sở hữu hơn 2000 cây hoa, cây cảnh độc đáo. Tại đó chúng ta sẽ được tham gia vào nhiều trò chơi lý thú như: câu cá, xe lửa, ngựa quay…",Hồ Chí Minh,"Công viên, Địa điểm tham quan",https://maps.app.goo.gl/WsHj2HXtpLw7qorj7,1HhenlQG_HzkD_TN0AAZMA2CYB6mZ3YXB,
21,Dinh Gia Long,"Nhắc đến dinh thự lịch sử ở Thành phố Hồ Chí Minh, nhiều người sẽ chỉ biết đến Dinh Độc Lập, còn Dinh Gia Long thì chưa nghe đến bao giờ. Thực chất Dinh Gia Long hiện nay đã trở thành Bảo tàng Thành phố Hồ Chí Minh, nơi lưu giữ rất nhiều hiện vật quan trọng phản ánh lại một giai đoạn lịch sử đầy biến động của Sài Gòn.",Hồ Chí Minh,"Di tích lịch sử, Bảo tàng",https://maps.app.goo.gl/6JtvgKu8bcLvWsXz7,1ZBw9vlo4MejgHFTaognHY_U6zW8MpCoO,
22,Dinh Độc Lập,Dinh Độc Lập (hay dinh Thống Nhất) là nơi Toàn quyền Đông Dương và tổng thống Ngô Đình Diệm làm việc trước sự kiện 30/4/1975 lịch sử. Công trình kiến trúc ấn tượng này ghi dấu ấn đậm nét trong giai đoạn những năm 1960.,Hồ Chí Minh,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/BH1KVt2zLNKWSMkw8,1QR8bt8jxYcU16RifWeEjAbbrjoqPt7kO,
23,Chợ Bến Thành,"Chợ Bến Thành hình thành giữa thế kỷ 19. Trải qua thăng trầm của lịch sử, khu chợ này từ lâu đã trở thành biểu tượng cho văn hóa mua bán sôi động của Sài Gòn nói riêng và Việt Nam nói chung. Cùng với sự phát triển kinh tế, du lịch của Thành phố Hồ Chí Minh, khu chợ này cũng ngày càng nổi tiếng và đặc biệt thu hút đông đảo khách du lịch nước ngoài ghé đến tham quan.",Hồ Chí Minh,"Chợ truyền thống, Mua sắm",https://maps.app.goo.gl/ZY2PXTcaWaBmkfuRA,1AgRJA0gmJ7fUeVBIp7ocM9MvqsZxfuKP,
24,Nhà thờ Đức Bà,"nhà thờ Đức Bà Sài Gòn là một trong những địa điểm du lịch nổi bật nhất nơi đây, còn được biết đến với cái tên khác là Nhà thờ chính tòa Đức Bà Sài Gòn hay Vương cung thánh đường chính tòa Đức Mẹ Vô nhiễm Nguyên tội. Bên trong thánh đường được thiết kế thành 1 lòng chính, 2 lòng phụ cùng 2 dãy nhà nguyện. Phía trước thánh đường có công viên với 4 đường giao nhau tạo thành hình thánh giá và là hiện tại nhà thờ đang được trùng tu, dự kiến đến năm 2027 mới hoàn thành.",Hồ Chí Minh,"Nhà thờ, Công trình kiến trúc",https://maps.app.goo.gl/2KF4MHJamqcUwsQt5,1_e2VoRYR0oaLWYZ2EsnE2dDgg4RPqKF8,
25,Công viên nước Đầm Sen,"Công viên nước Đầm Sen là một trong những điểm đến hàng đầu ở Sài Thành, nơi bạn được thả mình vào các trò chơi giải trí đa dạng và thú vị, phục vụ mọi sở thích và độ tuổi, mang đến cho bạn những trải nghiệm tuyệt vời.",Hồ Chí Minh,"Khu vui chơi, Công viên",https://maps.app.goo.gl/qtkf38ZV3zK1EWkr5,1wzdmhiw-mZ_lfO8f6NX0Z1OMBGcqUbFx,
26,Nhà hát Thành phố Hồ Chí Minh,"Nhà hát thành phố được đích thân kiến trúc sư Eugène Feret thiết kế và khánh thành năm 1900. Không gian giải trí trang trọng của thành phố này chịu ảnh hưởng của nhà hát Petit Palais khởi công cùng năm ở kinh đô Paris. Nét đặc sắc nhất nơi đây mà khách tham quan cần lưu ý chính là ngói lợp bằng dòng Ardoise, đây cũng là công trình duy nhất của thành phố được lợp bằng ngói này",Hồ Chí Minh,"Công trình kiến trúc, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/Q6Z8VCzUYg2LpNRMA,1Kg6D4_t2d_6cBPlkAVGwTG45X_x4crQi,
27,Bến Nhà Rồng,"Bến Nhà Rồng là một di tích lịch sử nổi tiếng ở trung tâm Thành phố Hồ Chí Minh. Đây là điểm tham quan gắn liền với câu chuyện đi tìm đường cứu nước của Chủ tịch Hồ Chí Minh. Sau khi chiến tranh miền Nam kết thúc, Bến Nhà Rồng đã được tu sửa và cải tạo lại công trình. Hiện nay, Bến Nhà Rồng có bốn khu vực chính là Bảo tàng Hồ Chí Minh, tượng đài Bác Hồ, khuôn viên bến cảng và đài phun nước. Các tín đồ du lịch vẫn thường hay gọi tòa nhà bảo tàng là Nhà Rồng và bến cảng ở ngay bên cạnh là Bến Nhà Rồng.",Hồ Chí Minh,"Di tích lịch sử, Bảo tàng",https://maps.app.goo.gl/HACtRzxzCEX9obDv6,1BhLDr76UhKpJ7PxZVudDW41wyV-ZZ1ir,
28,Công viên văn hóa Suối Tiên,"Công viên văn hóa Suối Tiên gây ấn tượng mạnh với du khách gần xa khi tích hợp đủ loại hình vui chơi hiện đại, độc đáo với phong cách tri ân văn hóa ấn tượng. Chẳng hạn như các công trình được xây theo thần thoại, truyền thuyết Việt Nam như: Sơn Tinh – Thủy Tinh, Vua Hùng, Lạc Long Quân – Âu Cơ… Những trò chơi được yêu thích nhất tại đây có thể kể đến như: rạp phim 3D/4D, phi thuyền đại chiến các vì sao, đường đua xe siêu tốc…",Hồ Chí Minh,"Khu vui chơi, Công viên",https://maps.app.goo.gl/dyk6r5mp9DJrnXnB7,1IljgPczGK-oGguDRV4iikQOz6h0_QgaF,
29,Landmark 81,"Landmark 81 là công trình kiến trúc bề thế tại trung tâm thành phố với chiều cao lên đến 470m và là tòa nhà cao nhất nước ta tính đến nay. Tại địa điểm du lịch Sài Gòn này bạn sẽ được thỏa chí vui chơi, tham gia vào nhiều dịch vụ tiện ích và mua sắm thả ga. Những địa điểm được yêu thích nhất ở đây là: rạp CGV, sân băng Vincom Ice Rink",Hồ Chí Minh,"Công trình kiến trúc, Trung tâm thương mại",https://maps.app.goo.gl/uKc7eWYV9AfutJLKA,14TZtY3DA4MHcT-d1ig5N8H67EV8_j1l3,
