Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Chùa Một Cột,"Chùa Một Cột (hay còn gọi là chùa Diên Hựu) là một trong những biểu tượng văn hóa và kiến trúc độc đáo của Hà Nội. Được xây dựng vào năm 1049 dưới thời vua Lý Thái Tông, ngôi chùa nổi bật với kiến trúc hình bông sen nở trên mặt hồ, tượng trưng cho sự thanh tịnh và lòng thành kính. Với giá trị lịch sử, tôn giáo và nghệ thuật cao, Chùa Một Cột là điểm đến thu hút đông đảo du khách trong và ngoài nước đến tham quan, chiêm bái và chụp ảnh lưu niệm.",Hà Nội,"Danh lam thắng cảnh, Di tích lịch sử, Công trình kiến trúc, Chùa, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/Ch%C3%B9a+M%E1%BB%99t+C%E1%BB%99t/@21.0358515,105.8336203,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba1728475ed:0xdbe7366fe9dfc2ae!8m2!3d21.0358515!4d105.8336203!16s%2Fm%2F03mdcwc?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",14HIxP_H3Y-zhLBl4GhziDP5clWDNF63v
Bảo tàng Dân tộc học Việt Nam,"Bảo tàng Dân tộc học Việt Nam là một trong những bảo tàng hàng đầu tại Hà Nội, được thành lập nhằm giới thiệu và tôn vinh sự đa dạng văn hóa của 54 dân tộc Việt Nam. Bảo tàng có không gian trưng bày hiện đại kết hợp với khu triển lãm ngoài trời mô phỏng nhà ở truyền thống, trang phục, nhạc cụ, và nghi lễ của từng dân tộc. Đây là điểm đến lý tưởng cho những ai yêu thích khám phá văn hóa, phong tục tập quán và đời sống cộng đồng các dân tộc Việt Nam.",Hà Nội,"Công trình kiến trúc, Bảo tàng","https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+D%C3%A2n+t%E1%BB%99c+h%E1%BB%8Dc+Vi%E1%BB%87t+Nam/@21.0403422,105.7987354,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab394353b821:0x47c950bb0f081a1c!8m2!3d21.0403422!4d105.7987354!16s%2Fm%2F03c23m3?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1Atf7SM6UFB5kG3Aq0hFcsfvpYUtIMjag
Hồ Tây,"Hồ Tây là hồ nước ngọt lớn nhất tại Hà Nội, nổi tiếng với khung cảnh nên thơ, không gian thoáng đãng và khí hậu trong lành. Đây là địa điểm lý tưởng để thư giãn, tản bộ, đạp xe quanh hồ, hoặc thưởng thức ẩm thực ven hồ. Hồ Tây còn được bao quanh bởi nhiều công trình văn hóa – tâm linh như chùa Trấn Quốc, phủ Tây Hồ, cùng các quán cà phê, nhà hàng, và điểm chụp ảnh đẹp. Vào hoàng hôn, nơi đây trở thành một trong những điểm ngắm cảnh lãng mạn nhất Hà Nội.",Hà Nội,"Danh lam thắng cảnh, Địa điểm nổi tiếng, Hồ, Điểm ngắm cảnh tự nhiên, Điểm chụp ảnh đẹp, Chèo thuyền, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/H%E1%BB%93+T%C3%A2y/@21.058032,105.8238219,14z/data=!3m1!4b1!4m6!3m5!1s0x3135aafe7260066b:0x4c2c988309aaa3db!8m2!3d21.053238!4d105.8260943!16s%2Fm%2F03c_2x5?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1fb3Wc0PFf-Jh0faz6LeNj9JAtnO3A3FN
Chùa Trấn Quốc,"Chùa Trấn Quốc là ngôi chùa cổ nhất ở Hà Nội, nằm trên một bán đảo nhỏ phía Đông Hồ Tây. Với lịch sử hơn 1.500 năm, chùa không chỉ là trung tâm tín ngưỡng quan trọng mà còn là biểu tượng văn hóa – tâm linh nổi bật của thủ đô. Kiến trúc chùa kết hợp hài hòa giữa cảnh quan thiên nhiên và nghệ thuật Phật giáo cổ truyền, tạo nên một khung cảnh thanh tịnh, linh thiêng và hấp dẫn du khách trong và ngoài nước. Đây cũng là điểm lý tưởng để chụp ảnh và cảm nhận sự bình yên giữa lòng Hà Nội.",Hà Nội,"Di tích lịch sử, Địa điểm nổi tiếng, Công trình kiến trúc, Chùa, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/search/Ch%C3%B9a+Tr%E1%BA%A5n+Qu%E1%BB%91c/@21.0479156,105.8372111,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1RSsPzrQROdXksAvN2oo2TLlh_JJuKiAb
Bảo tàng Mỹ thuật Quốc gia,"Bảo tàng Mỹ thuật Việt Nam là một trong những bảo tàng quan trọng bậc nhất trong việc lưu giữ và trưng bày các tác phẩm nghệ thuật đặc sắc của nền mỹ thuật dân tộc. Tọa lạc tại trung tâm Hà Nội, bảo tàng sở hữu bộ sưu tập đồ sộ từ nghệ thuật dân gian, điêu khắc, hội họa truyền thống đến các tác phẩm hiện đại. Không gian được thiết kế trang nhã, nghệ thuật, giúp du khách vừa thưởng thức cái đẹp vừa hiểu hơn về lịch sử và văn hóa nghệ thuật Việt Nam qua các thời kỳ. Đây là địa điểm lý tưởng cho người yêu nghệ thuật và văn hóa.",Hà Nội,"Công trình kiến trúc, Bảo tàng, Điểm chụp ảnh đẹp","https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+M%E1%BB%B9+thu%E1%BA%ADt+Vi%E1%BB%87t+Nam/@21.0230429,105.8273913,14.5z/data=!4m6!3m5!1s0x3135ab98947bdbf5:0xfd421f83a4c0ac4e!8m2!3d21.0307844!4d105.837084!16s%2Fm%2F04drtc2?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1aaGpBxu4orZ6WJU1Si4jObEYhm8jOK05
Nhà thờ Lớn Hà Nội,"Nhà thờ Lớn Hà Nội (tên chính thức: Nhà thờ chính tòa Thánh Giuse) là một trong những công trình kiến trúc tiêu biểu mang phong cách Gothic châu Âu cổ điển, được xây dựng từ cuối thế kỷ 19. Nằm ở trung tâm thủ đô, nơi giao thoa giữa nhịp sống hiện đại và nét cổ kính, nhà thờ không chỉ là trung tâm tôn giáo quan trọng của cộng đồng Công giáo Hà Nội mà còn là điểm đến yêu thích của du khách trong và ngoài nước. Với mặt tiền độc đáo, cửa sổ hoa hồng, mái vòm cao vút cùng không gian yên bình, đây là địa điểm lý tưởng để tham quan, chụp ảnh, tìm hiểu văn hóa và tôn giáo Việt Nam.",Hà Nội,"Công trình kiến trúc, Nhà thờ, Địa điểm tham quan miễn phí","https://www.google.com/maps/search/Nh%C3%A0+th%E1%BB%9D+L%E1%BB%9Bn+H%C3%A0+N%E1%BB%99i/@21.0287239,105.8490356,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1vHylTHstU_FU0bKHwLeDW4C1rau6KN9y
Phố đường sắt,"Phố đường sắt Hà Nội là một trong những địa điểm check-in độc đáo và nổi bật nhất tại thủ đô. Con phố nhỏ nằm dọc theo tuyến đường sắt chạy xuyên qua khu dân cư chật hẹp, nơi tàu hỏa đi sát ngay trước cửa nhà dân. Dù có phần mạo hiểm, nơi đây lại thu hút đông đảo du khách bởi khung cảnh rất ""điện ảnh"" với những quán cà phê nhỏ ven đường ray, góc sống ảo cổ điển, và trải nghiệm ngắm tàu chạy qua ở khoảng cách gần đến nghẹt thở. Không chỉ là nơi dừng chân thư giãn, Phố đường sắt còn là biểu tượng cho sự hòa quyện giữa hiện đại và truyền thống, giữa giao thông và đời sống thường nhật của người Hà Nội.",Hà Nội,"Địa điểm nổi tiếng, Khu phố cổ, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/search/Ph%E1%BB%91+%C4%91%C6%B0%E1%BB%9Dng+s%E1%BA%AFt/@21.0306993,105.8439077,18z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1KNZnd1yalBWzuAAOnpepYsFdWUQV9sAG
Hoàng thành Thăng Long,"Hoàng thành Thăng Long là một quần thể di tích lịch sử đặc biệt quan trọng, được UNESCO công nhận là Di sản Văn hóa Thế giới. Nằm tại trung tâm thủ đô Hà Nội, nơi đây từng là trung tâm quyền lực suốt hơn một nghìn năm của các triều đại phong kiến Việt Nam. Với các công trình kiến trúc cổ kính như Đoan Môn, Điện Kính Thiên, Cột cờ Hà Nội cùng nhiều hiện vật khảo cổ quý giá được phát hiện trong lòng đất, Hoàng thành là điểm đến không thể bỏ qua với những ai yêu lịch sử và văn hóa dân tộc. Không chỉ mang giá trị lịch sử, không gian tại đây còn rất lý tưởng cho việc tham quan, chụp ảnh và tìm hiểu kiến trúc cổ.",Hà Nội,"Di tích lịch sử, Địa điểm nổi tiếng, Công trình kiến trúc, Danh lam thắng cảnh, Địa điểm tham quan miễn phí","https://www.google.com/maps/search/Ho%C3%A0ng+th%C3%A0nh+Th%C4%83ng+Long/@21.0359233,105.8397747,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1gCKkqG43Lyi_GFR0GoLGOcJKZlFDAaDl
Bảo tàng Lịch sử Quân sự Việt Nam,"Bảo tàng Lịch sử Quân sự Việt Nam nằm trên phố Điện Biên Phủ, quận Ba Đình, Hà Nội, là nơi lưu giữ và trưng bày hàng nghìn hiện vật quý giá gắn liền với các cuộc kháng chiến bảo vệ tổ quốc. Bảo tàng nổi bật với các không gian trưng bày trong nhà và ngoài trời, bao gồm nhiều phương tiện chiến đấu như máy bay, xe tăng, pháo, cùng các tư liệu lịch sử, hình ảnh, vũ khí gắn liền với chiến thắng Điện Biên Phủ, kháng chiến chống Mỹ và chống Pháp. Đặc biệt, di tích Cột cờ Hà Nội nằm trong khuôn viên bảo tàng là điểm thu hút đông đảo du khách trong và ngoài nước. Đây là địa chỉ lý tưởng để tìm hiểu về lòng yêu nước, tinh thần chiến đấu quật cường của quân và dân Việt Nam qua các thời kỳ lịch sử.",Hà Nội,"Bảo tàng, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+L%E1%BB%8Bch+s%E1%BB%AD+Qu%C3%A2n+s%E1%BB%B1+Vi%E1%BB%87t+Nam/@21.0102762,105.7541035,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba2b73d5d13:0xa6a0ef366328a0b1!8m2!3d21.0102762!4d105.7541035!16s%2Fm%2F05f8zck?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1kpvxOWBJ6S5DEwDuVoGZ2EdSJcclzKlr
Quảng trường Ba Đình,"Quảng trường Ba Đình là quảng trường lớn và trang nghiêm bậc nhất Việt Nam, nằm trước Lăng Chủ tịch Hồ Chí Minh ở trung tâm thủ đô Hà Nội. Đây chính là nơi Chủ tịch Hồ Chí Minh đã đọc Tuyên ngôn Độc lập vào ngày 2/9/1945, khai sinh ra nước Việt Nam Dân chủ Cộng hòa. Quảng trường được thiết kế rộng rãi, thoáng đãng, với 168 ô cỏ xanh mướt và không gian yên tĩnh, thích hợp cho các sự kiện lớn của quốc gia cũng như các dịp tưởng niệm. Bao quanh quảng trường là các công trình quan trọng như Lăng Bác, Phủ Chủ tịch, Bảo tàng Hồ Chí Minh, và tòa nhà Quốc hội. Đây là điểm đến không thể bỏ qua đối với bất kỳ ai muốn tìm hiểu về lịch sử và lòng tự hào dân tộc Việt Nam.",Hà Nội,"Đài tưởng niệm, Địa điểm tham quan miễn phí","https://www.google.com/maps/search/Qu%E1%BA%A3ng+tr%C6%B0%E1%BB%9Dng+Ba+%C4%90%C3%ACnh/@21.0367992,105.8356167,17.5z?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1hkLsXtMQ_Lz_wXiTBPF0wrGqLYDlTFtI
